pair,method,file,seed,relays,width,height,iteration,evaluation,best_fitness
1,PSO,2026-09-17_22-02-11.log,37283284,4,350.0,350.0,0,1,0.829167
1,PSO,2026-09-17_22-02-11.log,37283284,4,350.0,350.0,0,5,0.870833
1,PSO,2026-09-17_22-02-11.log,37283284,4,350.0,350.0,1,21,0.891667
1,PSO,2026-09-17_22-02-11.log,37283284,4,350.0,350.0,1,31,0.9
1,PSO,2026-09-17_22-02-11.log,37283284,4,350.0,350.0,3,73,0.929167
1,PSO,2026-09-17_22-02-11.log,37283284,4,350.0,350.0,5,111,0.933333
1,PSO,2026-09-17_22-02-11.log,37283284,4,350.0,350.0,5,115,0.941667
1,PSO,2026-09-17_22-02-11.log,37283284,4,350.0,350.0,6,127,0.945833
1,PSO,2026-09-17_22-02-11.log,37283284,4,350.0,350.0,8,161,0.966667
1,PSO,2026-09-17_22-02-11.log,37283284,4,350.0,350.0,12,243,0.979167
1,Naive,2026-09-17_22-10-14.log,,149,,,0,1,0.829167
1,Naive,2026-09-17_22-10-14.log,,149,,,4,5,0.870833
1,Naive,2026-09-17_22-10-14.log,,149,,,21,22,0.929167
1,Naive,2026-09-17_22-10-14.log,,149,,,107,108,0.966667
2,PSO,2026-09-17_22-17-58.log,37283284,4,400.0,400.0,0,1,0.553333
2,PSO,2026-09-17_22-17-58.log,37283284,4,400.0,400.0,0,2,0.736667
2,PSO,2026-09-17_22-17-58.log,37283284,4,400.0,400.0,0,18,0.746667
2,PSO,2026-09-17_22-17-58.log,37283284,4,400.0,400.0,1,21,0.756667
2,PSO,2026-09-17_22-17-58.log,37283284,4,400.0,400.0,1,30,0.793333
2,PSO,2026-09-17_22-17-58.log,37283284,4,400.0,400.0,1,31,0.813333
2,PSO,2026-09-17_22-17-58.log,37283284,4,400.0,400.0,2,57,0.82
2,PSO,2026-09-17_22-17-58.log,37283284,4,400.0,400.0,3,67,0.826667
2,PSO,2026-09-17_22-17-58.log,37283284,4,400.0,400.0,3,74,0.876667
2,PSO,2026-09-17_22-17-58.log,37283284,4,400.0,400.0,9,194,0.9
2,PSO,2026-09-17_22-17-58.log,37283284,4,400.0,400.0,13,272,0.906667
2,PSO,2026-09-17_22-17-58.log,37283284,4,400.0,400.0,16,326,0.916667
2,Naive,2026-09-17_22-29-18.log,,235,,,0,1,0.553333
2,Naive,2026-09-17_22-29-18.log,,235,,,1,2,0.736667
2,Naive,2026-09-17_22-29-18.log,,235,,,17,18,0.746667
2,Naive,2026-09-17_22-29-18.log,,235,,,21,22,0.796667
2,Naive,2026-09-17_22-29-18.log,,235,,,43,44,0.813333
2,Naive,2026-09-17_22-29-18.log,,235,,,84,85,0.823333
2,Naive,2026-09-17_22-29-18.log,,235,,,89,90,0.83
2,Naive,2026-09-17_22-29-18.log,,235,,,112,113,0.87
2,Naive,2026-09-17_22-29-18.log,,235,,,135,136,0.873333
2,Naive,2026-09-17_22-29-18.log,,235,,,195,196,0.886667
2,Naive,2026-09-17_22-29-18.log,,235,,,259,260,0.913333
3,PSO,2026-09-17_22-39-13.log,37283284,4,500.0,500.0,0,1,0.469444
3,PSO,2026-09-17_22-39-13.log,37283284,4,500.0,500.0,0,3,0.533333
3,PSO,2026-09-17_22-39-13.log,37283284,4,500.0,500.0,0,4,0.541667
3,PSO,2026-09-17_22-39-13.log,37283284,4,500.0,500.0,0,6,0.597222
3,PSO,2026-09-17_22-39-13.log,37283284,4,500.0,500.0,2,55,0.6
3,PSO,2026-09-17_22-39-13.log,37283284,4,500.0,500.0,3,67,0.652778
3,PSO,2026-09-17_22-39-13.log,37283284,4,500.0,500.0,6,127,0.672222
3,PSO,2026-09-17_22-39-13.log,37283284,4,500.0,500.0,8,174,0.677778
3,PSO,2026-09-17_22-39-13.log,37283284,4,500.0,500.0,10,208,0.680556
3,PSO,2026-09-17_22-39-13.log,37283284,4,500.0,500.0,11,237,0.686111
3,PSO,2026-09-17_22-39-13.log,37283284,4,500.0,500.0,12,248,0.705556
3,PSO,2026-09-17_22-39-13.log,37283284,4,500.0,500.0,18,372,0.711111
3,PSO,2026-09-17_22-39-13.log,37283284,4,500.0,500.0,18,375,0.713889
3,PSO,2026-09-17_22-39-13.log,37283284,4,500.0,500.0,20,415,0.736111
3,Naive,2026-09-17_22-51-40.log,,175,,,0,1,0.469444
3,Naive,2026-09-17_22-51-40.log,,175,,,2,3,0.533333
3,Naive,2026-09-17_22-51-40.log,,175,,,3,4,0.541667
3,Naive,2026-09-17_22-51-40.log,,175,,,5,6,0.597222
3,Naive,2026-09-17_22-51-40.log,,175,,,24,25,0.619444
3,Naive,2026-09-17_22-51-40.log,,175,,,48,49,0.636111
3,Naive,2026-09-17_22-51-40.log,,175,,,110,111,0.644444
3,Naive,2026-09-17_22-51-40.log,,175,,,173,174,0.65
3,Naive,2026-09-17_22-51-40.log,,175,,,208,209,0.669444
4,PSO,2026-09-17_23-02-32.log,37283284,4,600.0,600.0,0,1,0.357143
4,PSO,2026-09-17_23-02-32.log,37283284,4,600.0,600.0,0,6,0.359524
4,PSO,2026-09-17_23-02-32.log,37283284,4,600.0,600.0,0,7,0.411905
4,PSO,2026-09-17_23-02-32.log,37283284,4,600.0,600.0,0,10,0.440476
4,PSO,2026-09-17_23-02-32.log,37283284,4,600.0,600.0,3,63,0.445238
4,PSO,2026-09-17_23-02-32.log,37283284,4,600.0,600.0,4,83,0.492857
4,PSO,2026-09-17_23-02-32.log,37283284,4,600.0,600.0,7,143,0.497619
4,PSO,2026-09-17_23-02-32.log,37283284,4,600.0,600.0,16,338,0.52619
4,Naive,2026-09-17_23-15-40.log,,133,,,0,1,0.357143
4,Naive,2026-09-17_23-15-40.log,,133,,,5,6,0.359524
4,Naive,2026-09-17_23-15-40.log,,133,,,6,7,0.411905
4,Naive,2026-09-17_23-15-40.log,,133,,,9,10,0.440476
4,Naive,2026-09-17_23-15-40.log,,133,,,33,34,0.47381
4,Naive,2026-09-17_23-15-40.log,,133,,,68,69,0.485714
5,PSO,2026-09-17_23-27-38.log,37283284,4,700.0,700.0,0,1,0.277083
5,PSO,2026-09-17_23-27-38.log,37283284,4,700.0,700.0,0,2,0.28125
5,PSO,2026-09-17_23-27-38.log,37283284,4,700.0,700.0,0,7,0.4125
5,PSO,2026-09-17_23-27-38.log,37283284,4,700.0,700.0,8,178,0.41875
5,PSO,2026-09-17_23-27-38.log,37283284,4,700.0,700.0,10,205,0.420833
5,PSO,2026-09-17_23-27-38.log,37283284,4,700.0,700.0,10,213,0.425
5,PSO,2026-09-17_23-27-38.log,37283284,4,700.0,700.0,11,225,0.435417
5,PSO,2026-09-17_23-27-38.log,37283284,4,700.0,700.0,12,256,0.439583
5,PSO,2026-09-17_23-27-38.log,37283284,4,700.0,700.0,15,316,0.441667
5,Naive,2026-09-17_23-42-53.log,,74,,,0,1,0.277083
5,Naive,2026-09-17_23-42-53.log,,74,,,1,2,0.28125
5,Naive,2026-09-17_23-42-53.log,,74,,,6,7,0.4125
6,PSO,2026-09-17_23-55-48.log,1555680,4,350.0,350.0,0,1,0.670833
6,PSO,2026-09-17_23-55-48.log,1555680,4,350.0,350.0,0,2,0.945833
6,PSO,2026-09-17_23-55-48.log,1555680,4,350.0,350.0,1,34,0.95
6,PSO,2026-09-17_23-55-48.log,1555680,4,350.0,350.0,4,81,0.958333
6,PSO,2026-09-17_23-55-48.log,1555680,4,350.0,350.0,6,132,0.9875
6,Naive,2026-09-18_00-04-42.log,,212,,,0,1,0.670833
6,Naive,2026-09-18_00-04-42.log,,212,,,1,2,0.945833
6,Naive,2026-09-18_00-04-42.log,,212,,,91,92,0.95
6,Naive,2026-09-18_00-04-42.log,,212,,,220,221,0.954167
6,Naive,2026-09-18_00-04-42.log,,212,,,252,253,0.966667
7,PSO,2026-09-18_00-12-33.log,1555680,4,400.0,400.0,0,1,0.656667
7,PSO,2026-09-18_00-12-33.log,1555680,4,400.0,400.0,0,2,0.666667
7,PSO,2026-09-18_00-12-33.log,1555680,4,400.0,400.0,0,3,0.7
7,PSO,2026-09-18_00-12-33.log,1555680,4,400.0,400.0,0,6,0.8
7,PSO,2026-09-18_00-12-33.log,1555680,4,400.0,400.0,0,8,0.826667
7,PSO,2026-09-18_00-12-33.log,1555680,4,400.0,400.0,0,15,0.843333
7,PSO,2026-09-18_00-12-33.log,1555680,4,400.0,400.0,0,16,0.873333
7,PSO,2026-09-18_00-12-33.log,1555680,4,400.0,400.0,1,28,0.896667
7,PSO,2026-09-18_00-12-33.log,1555680,4,400.0,400.0,5,116,0.903333
7,PSO,2026-09-18_00-12-33.log,1555680,4,400.0,400.0,15,313,0.91
7,PSO,2026-09-18_00-12-33.log,1555680,4,400.0,400.0,18,366,0.916667
7,Naive,2026-09-18_00-24-13.log,,75,,,0,1,0.656667
7,Naive,2026-09-18_00-24-13.log,,75,,,1,2,0.666667
7,Naive,2026-09-18_00-24-13.log,,75,,,2,3,0.7
7,Naive,2026-09-18_00-24-13.log,,75,,,5,6,0.8
7,Naive,2026-09-18_00-24-13.log,,75,,,7,8,0.826667
7,Naive,2026-09-18_00-24-13.log,,75,,,14,15,0.843333
7,Naive,2026-09-18_00-24-13.log,,75,,,15,16,0.873333
7,Naive,2026-09-18_00-24-13.log,,75,,,202,203,0.91
8,PSO,2026-09-18_00-33-50.log,1555680,4,500.0,500.0,0,1,0.366667
8,PSO,2026-09-18_00-33-50.log,1555680,4,500.0,500.0,0,2,0.416667
8,PSO,2026-09-18_00-33-50.log,1555680,4,500.0,500.0,0,8,0.502778
8,PSO,2026-09-18_00-33-50.log,1555680,4,500.0,500.0,0,17,0.516667
8,PSO,2026-09-18_00-33-50.log,1555680,4,500.0,500.0,1,28,0.547222
8,PSO,2026-09-18_00-33-50.log,1555680,4,500.0,500.0,2,46,0.566667
8,PSO,2026-09-18_00-33-50.log,1555680,4,500.0,500.0,2,57,0.575
8,PSO,2026-09-18_00-33-50.log,1555680,4,500.0,500.0,3,71,0.583333
8,PSO,2026-09-18_00-33-50.log,1555680,4,500.0,500.0,4,81,0.605556
8,PSO,2026-09-18_00-33-50.log,1555680,4,500.0,500.0,5,101,0.616667
8,PSO,2026-09-18_00-33-50.log,1555680,4,500.0,500.0,5,117,0.672222
8,PSO,2026-09-18_00-33-50.log,1555680,4,500.0,500.0,11,221,0.697222
8,PSO,2026-09-18_00-33-50.log,1555680,4,500.0,500.0,14,285,0.705556
8,PSO,2026-09-18_00-33-50.log,1555680,4,500.0,500.0,14,291,0.727778
8,Naive,2026-09-18_00-46-31.log,,165,,,0,1,0.366667
8,Naive,2026-09-18_00-46-31.log,,165,,,1,2,0.416667
8,Naive,2026-09-18_00-46-31.log,,165,,,7,8,0.502778
8,Naive,2026-09-18_00-46-31.log,,165,,,16,17,0.516667
8,Naive,2026-09-18_00-46-31.log,,165,,,27,28,0.527778
8,Naive,2026-09-18_00-46-31.log,,165,,,32,33,0.552778
8,Naive,2026-09-18_00-46-31.log,,165,,,46,47,0.619444
8,Naive,2026-09-18_00-46-31.log,,165,,,376,377,0.658333
9,PSO,2026-09-18_00-57-27.log,1555680,4,600.0,600.0,0,1,0.190476
9,PSO,2026-09-18_00-57-27.log,1555680,4,600.0,600.0,0,2,0.330952
9,PSO,2026-09-18_00-57-27.log,1555680,4,600.0,600.0,0,5,0.433333
9,PSO,2026-09-18_00-57-27.log,1555680,4,600.0,600.0,0,19,0.440476
9,PSO,2026-09-18_00-57-27.log,1555680,4,600.0,600.0,5,114,0.466667
9,PSO,2026-09-18_00-57-27.log,1555680,4,600.0,600.0,10,207,0.47619
9,PSO,2026-09-18_00-57-27.log,1555680,4,600.0,600.0,10,211,0.495238
9,Naive,2026-09-18_01-10-13.log,,145,,,0,1,0.190476
9,Naive,2026-09-18_01-10-13.log,,145,,,1,2,0.330952
9,Naive,2026-09-18_01-10-13.log,,145,,,4,5,0.433333
9,Naive,2026-09-18_01-10-13.log,,145,,,18,19,0.440476
9,Naive,2026-09-18_01-10-13.log,,145,,,107,108,0.454762
9,Naive,2026-09-18_01-10-13.log,,145,,,179,180,0.466667
10,PSO,2026-09-18_01-21-50.log,1555680,4,700.0,700.0,0,1,0.391667
10,PSO,2026-09-18_01-21-50.log,1555680,4,700.0,700.0,4,87,0.435417
10,PSO,2026-09-18_01-21-50.log,1555680,4,700.0,700.0,11,239,0.439583
10,PSO,2026-09-18_01-21-50.log,1555680,4,700.0,700.0,13,275,0.447917
10,Naive,2026-09-18_01-37-32.log,,209,,,0,1,0.391667
10,Naive,2026-09-18_01-37-32.log,,209,,,194,195,0.39375
11,PSO,2026-09-18_01-50-21.log,60466,4,350.0,350.0,0,1,0.954167
11,PSO,2026-09-18_01-50-21.log,60466,4,350.0,350.0,0,6,0.9625
11,PSO,2026-09-18_01-50-21.log,60466,4,350.0,350.0,2,57,0.970833
11,PSO,2026-09-18_01-50-21.log,60466,4,350.0,350.0,9,188,0.975
11,PSO,2026-09-18_01-50-21.log,60466,4,350.0,350.0,10,214,0.995833
11,Naive,2026-09-18_01-58-40.log,,131,,,0,1,0.954167
11,Naive,2026-09-18_01-58-40.log,,131,,,5,6,0.9625
11,Naive,2026-09-18_01-58-40.log,,131,,,21,22,0.966667
11,Naive,2026-09-18_01-58-40.log,,131,,,31,32,0.975
11,Naive,2026-09-18_01-58-40.log,,131,,,178,179,0.991667
12,PSO,2026-09-18_02-06-08.log,60466,4,400.0,400.0,0,1,0.75
12,PSO,2026-09-18_02-06-08.log,60466,4,400.0,400.0,0,15,0.76
12,PSO,2026-09-18_02-06-08.log,60466,4,400.0,400.0,0,18,0.836667
12,PSO,2026-09-18_02-06-08.log,60466,4,400.0,400.0,2,46,0.843333
12,PSO,2026-09-18_02-06-08.log,60466,4,400.0,400.0,3,65,0.846667
12,PSO,2026-09-18_02-06-08.log,60466,4,400.0,400.0,5,105,0.853333
12,PSO,2026-09-18_02-06-08.log,60466,4,400.0,400.0,5,117,0.863333
12,PSO,2026-09-18_02-06-08.log,60466,4,400.0,400.0,14,299,0.873333
12,PSO,2026-09-18_02-06-08.log,60466,4,400.0,400.0,17,344,0.876667
12,Naive,2026-09-18_02-17-05.log,,101,,,0,1,0.75
12,Naive,2026-09-18_02-17-05.log,,101,,,14,15,0.76
12,Naive,2026-09-18_02-17-05.log,,101,,,17,18,0.836667
12,Naive,2026-09-18_02-17-05.log,,101,,,361,362,0.86
13,PSO,2026-09-18_02-26-38.log,60466,4,500.0,500.0,0,1,0.461111
13,PSO,2026-09-18_02-26-38.log,60466,4,500.0,500.0,0,2,0.513889
13,PSO,2026-09-18_02-26-38.log,60466,4,500.0,500.0,0,3,0.527778
13,PSO,2026-09-18_02-26-38.log,60466,4,500.0,500.0,0,8,0.536111
13,PSO,2026-09-18_02-26-38.log,60466,4,500.0,500.0,0,18,0.575
13,PSO,2026-09-18_02-26-38.log,60466,4,500.0,500.0,2,49,0.594444
13,PSO,2026-09-18_02-26-38.log,60466,4,500.0,500.0,4,84,0.680556
13,PSO,2026-09-18_02-26-38.log,60466,4,500.0,500.0,7,144,0.705556
13,PSO,2026-09-18_02-26-38.log,60466,4,500.0,500.0,8,163,0.719444
13,PSO,2026-09-18_02-26-38.log,60466,4,500.0,500.0,9,191,0.725
13,PSO,2026-09-18_02-26-38.log,60466,4,500.0,500.0,9,196,0.736111
13,PSO,2026-09-18_02-26-38.log,60466,4,500.0,500.0,10,216,0.738889
13,PSO,2026-09-18_02-26-38.log,60466,4,500.0,500.0,12,247,0.741667
13,Naive,2026-09-18_02-38-56.log,,67,,,0,1,0.461111
13,Naive,2026-09-18_02-38-56.log,,67,,,1,2,0.513889
13,Naive,2026-09-18_02-38-56.log,,67,,,2,3,0.527778
13,Naive,2026-09-18_02-38-56.log,,67,,,7,8,0.536111
13,Naive,2026-09-18_02-38-56.log,,67,,,17,18,0.575
13,Naive,2026-09-18_02-38-56.log,,67,,,20,21,0.577778
13,Naive,2026-09-18_02-38-56.log,,67,,,34,35,0.597222
13,Naive,2026-09-18_02-38-56.log,,67,,,113,114,0.677778
13,Naive,2026-09-18_02-38-56.log,,67,,,156,157,0.708333
14,PSO,2026-09-18_02-49-32.log,60466,4,600.0,600.0,0,1,0.297619
14,PSO,2026-09-18_02-49-32.log,60466,4,600.0,600.0,0,2,0.402381
14,PSO,2026-09-18_02-49-32.log,60466,4,600.0,600.0,0,4,0.47619
14,PSO,2026-09-18_02-49-32.log,60466,4,600.0,600.0,0,16,0.490476
14,PSO,2026-09-18_02-49-32.log,60466,4,600.0,600.0,6,125,0.495238
14,PSO,2026-09-18_02-49-32.log,60466,4,600.0,600.0,8,170,0.509524
14,PSO,2026-09-18_02-49-32.log,60466,4,600.0,600.0,16,334,0.516667
14,Naive,2026-09-18_03-03-06.log,,152,,,0,1,0.297619
14,Naive,2026-09-18_03-03-06.log,,152,,,1,2,0.402381
14,Naive,2026-09-18_03-03-06.log,,152,,,3,4,0.47619
14,Naive,2026-09-18_03-03-06.log,,152,,,15,16,0.490476
15,PSO,2026-09-18_03-14-56.log,60466,4,700.0,700.0,0,1,0.210417
15,PSO,2026-09-18_03-14-56.log,60466,4,700.0,700.0,0,3,0.25
15,PSO,2026-09-18_03-14-56.log,60466,4,700.0,700.0,0,4,0.320833
15,PSO,2026-09-18_03-14-56.log,60466,4,700.0,700.0,0,16,0.354167
15,PSO,2026-09-18_03-14-56.log,60466,4,700.0,700.0,4,92,0.383333
15,PSO,2026-09-18_03-14-56.log,60466,4,700.0,700.0,6,132,0.385417
15,PSO,2026-09-18_03-14-56.log,60466,4,700.0,700.0,8,162,0.3875
15,PSO,2026-09-18_03-14-56.log,60466,4,700.0,700.0,9,193,0.4
15,PSO,2026-09-18_03-14-56.log,60466,4,700.0,700.0,14,287,0.402083
15,PSO,2026-09-18_03-14-56.log,60466,4,700.0,700.0,20,413,0.404167
15,Naive,2026-09-18_03-29-46.log,,131,,,0,1,0.210417
15,Naive,2026-09-18_03-29-46.log,,131,,,2,3,0.25
15,Naive,2026-09-18_03-29-46.log,,131,,,3,4,0.320833
15,Naive,2026-09-18_03-29-46.log,,131,,,15,16,0.354167
15,Naive,2026-09-18_03-29-46.log,,131,,,31,32,0.358333
15,Naive,2026-09-18_03-29-46.log,,131,,,59,60,0.364583
15,Naive,2026-09-18_03-29-46.log,,131,,,147,148,0.366667
15,Naive,2026-09-18_03-29-46.log,,131,,,327,328,0.36875
16,PSO,2026-09-18_03-42-12.log,37283284,5,350.0,350.0,0,1,0.870833
16,PSO,2026-09-18_03-42-12.log,37283284,5,350.0,350.0,0,8,0.904167
16,PSO,2026-09-18_03-42-12.log,37283284,5,350.0,350.0,0,12,0.9625
16,PSO,2026-09-18_03-42-12.log,37283284,5,350.0,350.0,8,163,0.979167
16,PSO,2026-09-18_03-42-12.log,37283284,5,350.0,350.0,12,242,0.9875
16,Naive,2026-09-18_03-51-00.log,,98,,,0,1,0.870833
16,Naive,2026-09-18_03-51-00.log,,98,,,7,8,0.904167
16,Naive,2026-09-18_03-51-00.log,,98,,,11,12,0.9625
16,Naive,2026-09-18_03-51-00.log,,98,,,343,344,0.970833
17,PSO,2026-09-18_03-59-06.log,37283284,5,400.0,400.0,0,1,0.67
17,PSO,2026-09-18_03-59-06.log,37283284,5,400.0,400.0,0,2,0.78
17,PSO,2026-09-18_03-59-06.log,37283284,5,400.0,400.0,0,7,0.823333
17,PSO,2026-09-18_03-59-06.log,37283284,5,400.0,400.0,0,14,0.836667
17,PSO,2026-09-18_03-59-06.log,37283284,5,400.0,400.0,0,19,0.856667
17,PSO,2026-09-18_03-59-06.log,37283284,5,400.0,400.0,1,37,0.926667
17,PSO,2026-09-18_03-59-06.log,37283284,5,400.0,400.0,4,82,0.936667
17,PSO,2026-09-18_03-59-06.log,37283284,5,400.0,400.0,7,141,0.956667
17,PSO,2026-09-18_03-59-06.log,37283284,5,400.0,400.0,10,219,0.96
17,PSO,2026-09-18_03-59-06.log,37283284,5,400.0,400.0,17,349,0.973333
17,Naive,2026-09-18_04-10-35.log,,225,,,0,1,0.67
17,Naive,2026-09-18_04-10-35.log,,225,,,1,2,0.78
17,Naive,2026-09-18_04-10-35.log,,225,,,6,7,0.823333
17,Naive,2026-09-18_04-10-35.log,,225,,,13,14,0.836667
17,Naive,2026-09-18_04-10-35.log,,225,,,18,19,0.856667
17,Naive,2026-09-18_04-10-35.log,,225,,,47,48,0.89
17,Naive,2026-09-18_04-10-35.log,,225,,,138,139,0.93
17,Naive,2026-09-18_04-10-35.log,,225,,,199,200,0.94
18,PSO,2026-09-18_04-21-15.log,37283284,5,500.0,500.0,0,1,0.547222
18,PSO,2026-09-18_04-21-15.log,37283284,5,500.0,500.0,0,6,0.55
18,PSO,2026-09-18_04-21-15.log,37283284,5,500.0,500.0,0,7,0.594444
18,PSO,2026-09-18_04-21-15.log,37283284,5,500.0,500.0,0,9,0.636111
18,PSO,2026-09-18_04-21-15.log,37283284,5,500.0,500.0,0,14,0.661111
18,PSO,2026-09-18_04-21-15.log,37283284,5,500.0,500.0,2,44,0.688889
18,PSO,2026-09-18_04-21-15.log,37283284,5,500.0,500.0,5,104,0.691667
18,PSO,2026-09-18_04-21-15.log,37283284,5,500.0,500.0,8,172,0.713889
18,PSO,2026-09-18_04-21-15.log,37283284,5,500.0,500.0,11,223,0.719444
18,PSO,2026-09-18_04-21-15.log,37283284,5,500.0,500.0,11,232,0.730556
18,PSO,2026-09-18_04-21-15.log,37283284,5,500.0,500.0,11,238,0.741667
18,PSO,2026-09-18_04-21-15.log,37283284,5,500.0,500.0,12,244,0.744444
18,PSO,2026-09-18_04-21-15.log,37283284,5,500.0,500.0,15,308,0.747222
18,PSO,2026-09-18_04-21-15.log,37283284,5,500.0,500.0,15,318,0.761111
18,Naive,2026-09-18_04-34-23.log,,345,,,0,1,0.547222
18,Naive,2026-09-18_04-34-23.log,,345,,,5,6,0.55
18,Naive,2026-09-18_04-34-23.log,,345,,,6,7,0.594444
18,Naive,2026-09-18_04-34-23.log,,345,,,8,9,0.636111
18,Naive,2026-09-18_04-34-23.log,,345,,,13,14,0.661111
18,Naive,2026-09-18_04-34-23.log,,345,,,45,46,0.697222
18,Naive,2026-09-18_04-34-23.log,,345,,,50,51,0.727778
19,PSO,2026-09-18_04-46-19.log,37283284,5,600.0,600.0,0,1,0.454762
19,PSO,2026-09-18_04-46-19.log,37283284,5,600.0,600.0,0,2,0.471429
19,PSO,2026-09-18_04-46-19.log,37283284,5,600.0,600.0,0,5,0.52381
19,PSO,2026-09-18_04-46-19.log,37283284,5,600.0,600.0,4,97,0.55
19,PSO,2026-09-18_04-46-19.log,37283284,5,600.0,600.0,17,359,0.552381
19,PSO,2026-09-18_04-46-19.log,37283284,5,600.0,600.0,18,379,0.559524
19,PSO,2026-09-18_04-46-19.log,37283284,5,600.0,600.0,20,418,0.561905
19,Naive,2026-09-18_05-00-17.log,,155,,,0,1,0.454762
19,Naive,2026-09-18_05-00-17.log,,155,,,1,2,0.471429
19,Naive,2026-09-18_05-00-17.log,,155,,,4,5,0.52381
19,Naive,2026-09-18_05-00-17.log,,155,,,88,89,0.538095
19,Naive,2026-09-18_05-00-17.log,,155,,,147,148,0.571429
19,Naive,2026-09-18_05-00-17.log,,155,,,227,228,0.602381
20,PSO,2026-09-18_05-13-44.log,37283284,5,700.0,700.0,0,1,0.28125
20,PSO,2026-09-18_05-13-44.log,37283284,5,700.0,700.0,0,3,0.322917
20,PSO,2026-09-18_05-13-44.log,37283284,5,700.0,700.0,0,7,0.3875
20,PSO,2026-09-18_05-13-44.log,37283284,5,700.0,700.0,0,13,0.433333
20,PSO,2026-09-18_05-13-44.log,37283284,5,700.0,700.0,4,98,0.45625
20,PSO,2026-09-18_05-13-44.log,37283284,5,700.0,700.0,7,160,0.458333
20,PSO,2026-09-18_05-13-44.log,37283284,5,700.0,700.0,8,170,0.48125
20,PSO,2026-09-18_05-13-44.log,37283284,5,700.0,700.0,15,319,0.483333
20,PSO,2026-09-18_05-13-44.log,37283284,5,700.0,700.0,16,340,0.485417
20,PSO,2026-09-18_05-13-44.log,37283284,5,700.0,700.0,19,393,0.491667
20,Naive,2026-09-18_05-29-49.log,,229,,,0,1,0.28125
20,Naive,2026-09-18_05-29-49.log,,229,,,2,3,0.322917
20,Naive,2026-09-18_05-29-49.log,,229,,,6,7,0.3875
20,Naive,2026-09-18_05-29-49.log,,229,,,12,13,0.433333
20,Naive,2026-09-18_05-29-49.log,,229,,,79,80,0.439583
21,PSO,2026-09-18_05-43-50.log,1555680,5,350.0,350.0,0,1,0.691667
21,PSO,2026-09-18_05-43-50.log,1555680,5,350.0,350.0,0,2,0.741667
21,PSO,2026-09-18_05-43-50.log,1555680,5,350.0,350.0,0,3,0.920833
21,PSO,2026-09-18_05-43-50.log,1555680,5,350.0,350.0,1,24,0.929167
21,PSO,2026-09-18_05-43-50.log,1555680,5,350.0,350.0,1,25,0.95
21,PSO,2026-09-18_05-43-50.log,1555680,5,350.0,350.0,2,41,0.9625
21,PSO,2026-09-18_05-43-50.log,1555680,5,350.0,350.0,4,85,0.970833
21,PSO,2026-09-18_05-43-50.log,1555680,5,350.0,350.0,6,125,0.979167
21,PSO,2026-09-18_05-43-50.log,1555680,5,350.0,350.0,8,176,0.983333
21,PSO,2026-09-18_05-43-50.log,1555680,5,350.0,350.0,12,255,0.9875
21,Naive,2026-09-18_05-52-42.log,,248,,,0,1,0.691667
21,Naive,2026-09-18_05-52-42.log,,248,,,1,2,0.741667
21,Naive,2026-09-18_05-52-42.log,,248,,,2,3,0.920833
21,Naive,2026-09-18_05-52-42.log,,248,,,20,21,0.933333
21,Naive,2026-09-18_05-52-42.log,,248,,,21,22,0.941667
21,Naive,2026-09-18_05-52-42.log,,248,,,37,38,0.958333
21,Naive,2026-09-18_05-52-42.log,,248,,,331,332,0.975
22,PSO,2026-09-18_06-00-41.log,1555680,5,400.0,400.0,0,1,0.686667
22,PSO,2026-09-18_06-00-41.log,1555680,5,400.0,400.0,0,2,0.83
22,PSO,2026-09-18_06-00-41.log,1555680,5,400.0,400.0,0,3,0.866667
22,PSO,2026-09-18_06-00-41.log,1555680,5,400.0,400.0,1,40,0.893333
22,PSO,2026-09-18_06-00-41.log,1555680,5,400.0,400.0,2,43,0.903333
22,PSO,2026-09-18_06-00-41.log,1555680,5,400.0,400.0,3,63,0.92
22,PSO,2026-09-18_06-00-41.log,1555680,5,400.0,400.0,4,97,0.93
22,PSO,2026-09-18_06-00-41.log,1555680,5,400.0,400.0,6,136,0.956667
22,Naive,2026-09-18_06-12-02.log,,170,,,0,1,0.686667
22,Naive,2026-09-18_06-12-02.log,,170,,,1,2,0.83
22,Naive,2026-09-18_06-12-02.log,,170,,,2,3,0.866667
22,Naive,2026-09-18_06-12-02.log,,170,,,31,32,0.883333
22,Naive,2026-09-18_06-12-02.log,,170,,,85,86,0.89
22,Naive,2026-09-18_06-12-02.log,,170,,,108,109,0.906667
22,Naive,2026-09-18_06-12-02.log,,170,,,124,125,0.916667
22,Naive,2026-09-18_06-12-02.log,,170,,,239,240,0.92
23,PSO,2026-09-18_06-22-29.log,1555680,5,500.0,500.0,0,1,0.516667
23,PSO,2026-09-18_06-22-29.log,1555680,5,500.0,500.0,0,2,0.566667
23,PSO,2026-09-18_06-22-29.log,1555680,5,500.0,500.0,0,7,0.647222
23,PSO,2026-09-18_06-22-29.log,1555680,5,500.0,500.0,4,90,0.655556
23,PSO,2026-09-18_06-22-29.log,1555680,5,500.0,500.0,7,160,0.658333
23,PSO,2026-09-18_06-22-29.log,1555680,5,500.0,500.0,8,180,0.713889
23,PSO,2026-09-18_06-22-29.log,1555680,5,500.0,500.0,12,260,0.725
23,PSO,2026-09-18_06-22-29.log,1555680,5,500.0,500.0,15,302,0.755556
